Author,Year,country,Asia,region,RCT,pmid,older,source_database,enrol_begin,enrol_end,FU_begin,FU_end,BC_stages,definitely_no_prevalent_cases,sample,percent_event,n_events,median_FU,PY_FU,ir_1000,ir_cilb,ir_ciub,how_calculated,comments,sample_size,mean_age,age_sd,age_percent_categories,age_comments,males,males_comments,postmenopause,postmenopause_comments,race_white,race_hispanic,race_black,race_asian,race_comments,history_ihd,history_ihd_comments,history_cardio,history_cardio_comments,history_diabetes,history_diabetes_comments,hypertension,hypertension_comments,smoking,smoking_comments,alcohol,alcohol_comments,dyslipidemia,dyslipidemia_comments,atrial_fibrillation,atrial_fibrillation_comments,prior_mi,prior_mi_comments,history_hf,history_hf_comments,history_stroke,history_stroke_comments,pad,pad_comments,vhd,vhd_comments,ckd,ckd_comments,Charlson_Comorbidity_Index,Charlson_Comorbidity_Index_comments,hormone_replacement,hormone_replacement_comments,bmi,bmi_sd,overweight,bmi_comments,stage_0,stage_1,stage_2,stage_3,stage_4,Local_Regional_distant,stage_comments,grade_1,grade_2,grade_3,grade_comments,estrogen_positive,progesteron_positive,her2_positive,triple_negative,hormone_positive,type_comments,node_negative,node_positive,node_comments,side_left,side_right,side_both,side_comments,size_less_2,size_2_5,size_more_5,size_comments,surgery_total,surgery_mastectomia,surgery_breast_conserving,surgery_ovary,surgery_lymph_node,surgery_comments,treatment_adjuvant,treatment_neoadjuvant,treatment_any_hormone,treatment_tamoxifen,treatment_other_aromatase_inhibitor,treatment_chemotherapy,treatment_antracycline,treatment_anti_her,treatment_trastuzumab,treatment_comment,radiation_percent,radiation_dose,radiation_moderate,radiation_technique,radiation_comments
Yoo,2021,Korea,1,nationwide,0,34174850,0,Korean National Health Insurance Service database,2007,2013,0,8.5,,,13740,,41,,68411.00,0.599318823,0.4412859782,0.8139462148,formula,unique database,13740,47.68,9.68,,,0,,,,100,0,0,0,,0,,0,,5.04,,15.86,,,,,,10.76,,,,,,,,0,,,,,,,,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagsi,2007,USA,0,Single-center,0,17238178,0,University of Michigan,1984,2000,0,20,,0,834,,12,6.8,5671.20,2.115954295,1.201658457,3.725902774,formula,,834,55.7,,,,0,,,,92,,5,,,10,,,,7,,38,,36,,,,25,,1.7,,,,,,1.6,,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,49.5,45.5,5,,,,,,100,0,100,,,,,,,49.4,,39,,,,,100,,,,
Deen,2018,The Netherlands,0,nationwide,0,30121599,0,The Netherlands Cancer registry,1996,2010,0,16,,0,127714,,3562,,572515.30,6.221667788,6.020664003,6.429382214,formula,Netherland database with the largest PY FU,127714,60.4,13.3,,The sample characteristica were underreported,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,91.1- invasive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obi,2014,Germany,0,Hamburg and the Rhine-Neckar-Karlsruhe region,0,24570215,1,MARIE plus,2001,2005,0,8,,1,2423,,19,5.775,13992.83,1.35783875,0.8660951032,2.128780157,formula,unique database,2542,62.1,,,,0,,90.6,,,,,,,,,,,6.6,,37.4,,82.9,,86.9,,,,,,,,,,,,,,,,,,,,69.8,,,,15.5,,6.4,45.7,36,6,2.8,,,,,,,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,68.9,46.2,45.8,,1.8,1.8,,78.7,,,,
Kim,2021,Korea,1,4 medical centers,0,34369199,0, Clinical Data Warehouse of Hallym Medical Center,2005,2015,0,6,,0,1256,,2,4.058,5096.85,0.392399381,0.09813566509,1.569024615,formula,sensitivity analyses,1256,51.4,10.7,,,0,,,,,,,100,,,,,,8.7,,16.5,,,,,,27.9,,,,0.6,Prior myocardial infarction or peripheral artery occlusive disease,0.4,,,,,,,,2.6,eGFR<60 mL/min per 1.73 m²,,,,,24.4,3.5,,,1,43.1,38.5,16.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,99.9,18.1,81.3,,,others 0.5,,,70.4,,,79.5,70.7,11.9,11.9,,100,58.2 +- 6.1,,,
Franchi,2021,Italy,0,Lombardy,0,34066685,1, Italian National Health Service ,2009,2015,0,11,,1,15762,,181,5.88,107864.00,1.678039012,1.450546242,1.941210038,formula,unique database,33946,,,,,0,,100,,100,0,0,0,0,0,,0,,,N/A,54.6,,,,,,20.2,,,N/A,0,,0,,0,,0.1,,,NA,0.3,NA,,NA,4.9,,,,,NA,,,,,0,,,,,,,,,,,,NA,,,NA,,,,NA,,,,NA,100,,,,,NA,,,100,,,15.4,,,,,44.3,,,,
Khosrow-Khavar,2020,UK,0,nationwide,0,32065766,1,UK Clinical Practice Research Datalink,1998,2016,0,18,,0,17922,,95,,34039.00,2.790916302,2.282515692,3.412556518,formula,UK database with the largest PY FU,17922,67.7,11.1,,,0,,,,94.8,,,,,,,,,9.9,Antidiabetic drugs,,,46,"current, former",5.2,Alcohol-related disorders,,,,,2.4,,2.6,,4.3,,2.2454,,,,6.3,,,,12,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,80.4,,,,,,100,54.6,45.4,13.8,,,,,4.5,,,,
Haque,2014,USA,0,"Washington,  Southern California,  New Mexico, Michigan, Minnesota, Minnesota",0,24512167,1,BOWI cohort -  Cancer Research Network ,1990,1994,5,15,,0,1361,,125,5,7407.00,16.87592818,14.16225758,20.10957295,formula,,1361,,,,,0,,100,,81.93,5.29,10.07,2.72,,,,,,15.14,,63.63,,30.35,,,,,,,,,,,,,,,,,,,,,,,,,,21.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park,2017,USA,0,40 clinical centers,0,28934233,1,Women’s Health Initiative,1998,2010,0,10,,1,4340,,100,,41020.59,2.4378,2.0033,2.9666,fixed Meta-analysis,,4518,68.03,7.19,,,0,,100,,89.2,,,,,0,,0,,4.3,,29.9,,49.9,,,,11.3,,,,0,,0,,0,,0,,,,,,,,61.9,,,,29.9,,,,,,,,75.16/ 22.74/ 0.67 Local/Regional/distant,26.47,38.55,24.15,,78.46,64.98,11.18,,,,68.55,21.68,,50.3,49.06,0.12,,77,,,18.27 - >2 cm,,,,,,,,,,,,,,,,,,,,,
James ,2018,New Zealand,0,Christchurch region,0,29436171,0, Christchurch Public Hospital,2002,2006,0,11,,,501,,19,10.33,5638.42,3.369740323,2.14938305,5.282981014,formula,unique database,501,55.5,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,58.3,40,,49.5,50.1,,,62.5,30.7,5.4,,100,25,75,,,,,,,,,38.3,,,,,100,,,,
